company,text,likes,comments,shares,post_url,format_type,timestamp,category,funnel_stage
WoodWing,"Een nieuwe ISO 9001-versie komt eraan. En die vraagt iets anders van je organisatie. Niet méér documentatie. Maar aantoonbaar gedrag.

Tijdens dit webinar laten we zien:
🔍 Wat er precies verandert
🧩 Hoe je kwaliteitscultuur concreet maakt
⚙️ Welke stappen je nu al kunt zetten

Zodat je straks niet verrast wordt tijdens een audit.

Meld je aan! 👇
📅 14 april | 11:00 uur (CEST)
Kan je er niet bij zijn? Schrijf je gewoon in, dan krijg je de opname van het webinar!",5,0,1,https://www.linkedin.com/posts/woodwing_een-nieuwe-iso-9001-versie-komt-eraan-en-activity-7442161138458394624-6bsY?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD1w7CABySVhztImliJXhj_Jyq5CxF4esqw,text,2026-03-24T10:51:24.076Z,General,Awareness
WoodWing,"Eid Mubarak to our colleagues, partners, and community celebrating around the world. 🌙

May this special day bring happiness, peace, and time to celebrate together with loved ones.

Wishing you a joyful and blessed Eid.",9,0,1,https://www.linkedin.com/posts/woodwing_eid-mubarak-to-our-colleagues-partners-activity-7440691126803558401-IMzt?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD1w7CABySVhztImliJXhj_Jyq5CxF4esqw,image,2026-03-20T09:30:05.986Z,General,Awareness
WoodWing,"⏳ Final reminder. Our webinar on smart content decisions in publishing takes place next week.

Audience data can inform better editorial decisions.
But only if it reaches the newsroom at the right moment.

smartocto and WoodWing will show how audience intelligence can be embedded directly into editorial workflows.

🔎 Real examples
📊 Practical insights
🧩 Integrated workflows

Register now! 👉 https://lnkd.in/eBdyB-Gy 
Can't watch live? Register anyway, we will send you the recording.",12,0,1,https://www.linkedin.com/posts/woodwing_final-reminder-our-webinar-on-smart-content-activity-7440394297553633280-zSyF?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD1w7CABySVhztImliJXhj_Jyq5CxF4esqw,image,2026-03-19T13:50:36.378Z,General,Awareness
WoodWing,"Many teams are exploring AI. Few are seeing real impact.

Why? Because AI isn’t plug-and-play. It depends on how your workflows are set up. Clear processes, structured content, and solid governance make all the difference. Without that, AI adds complexity instead of value.

Read more about what actually works 👉 https://lnkd.in/e-hS_7Er",17,1,0,https://www.linkedin.com/posts/woodwing_many-teams-are-exploring-ai-few-are-seeing-activity-7439989045482582016-kxbu?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD1w7CABySVhztImliJXhj_Jyq5CxF4esqw,image,2026-03-18T11:00:16.755Z,General,Awareness
WoodWing,"Publishing media shouldn’t require complex infrastructure. With the bunny.net integration for WoodWing Assets, images and videos can be delivered through a global CDN using simple metadata fields.

Each asset gets a secure, shareable URL that can be embedded directly into websites, CMS platforms, or applications.

Fast delivery. Secure access.
And no custom CDN setup required. 🔐

Find out more ➡️ https://lnkd.in/eaH8-xEz",21,0,2,https://www.linkedin.com/posts/woodwing_publishing-media-shouldnt-require-complex-activity-7439603976708272128-5ZU1?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD1w7CABySVhztImliJXhj_Jyq5CxF4esqw,image,2026-03-17T09:30:09.205Z,General,Awareness
WoodWing,"Great conversations, valuable insights, and a strong partner community. Two inspiring days with our partner community in Amsterdam. 🇳🇱

During the WoodWing Partner Days, we explored product innovations, shared success stories, and discussed how our ecosystem continues to evolve. From roadmap updates and AI discussions to real-world use cases and open conversations, the focus was clear: building the future of content operations together.

A big thank you to all partners who joined, contributed insights, and shared their experiences. 🤝 The discussions, ideas, and connections made over these two days will help shape what comes next.",77,0,6,https://www.linkedin.com/posts/woodwing_great-conversations-valuable-insights-and-activity-7437799666827587584-nuWa?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD1w7CABySVhztImliJXhj_Jyq5CxF4esqw,image,2026-03-12T10:00:28.207Z,General,Awareness
WoodWing,"In busy newsrooms, speed and structure go hand in hand. The BRIXWIRE News Hub integration for WoodWing Studio & Assets ensures syndicated stories are automatically delivered into your workflow.
🔹 Automated ingestion
🔹 Clean, deduplicated feeds
🔹 Consistent metadata for search and reuse

Editors spend less time managing incoming content — and more time shaping the story. 📰 Learn more about the integration: https://lnkd.in/eY6rUfh4",21,0,5,https://www.linkedin.com/posts/woodwing_in-busy-newsrooms-speed-and-structure-go-activity-7437437243675422720-NN21?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD1w7CABySVhztImliJXhj_Jyq5CxF4esqw,image,2026-03-11T10:00:19.794Z,General,Awareness
WoodWing,"Documents evolve continuously.
📑 Policies are updated
⚙️ Procedures change
💡 New insights lead to revisions

Without structured version control, it quickly becomes unclear which document is actually valid. 😵‍💫 A clear distinction between latest version and current version makes all the difference. It protects processes, supports compliance, and ensures AI works with approved information. ✅

Our latest blog explains why version management is a fundamental part of modern information governance. 🔍 https://lnkd.in/eJwpyk_t",12,0,1,https://www.linkedin.com/posts/woodwing_documents-evolve-continuously-policies-activity-7437067688591462400-BuOq?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD1w7CABySVhztImliJXhj_Jyq5CxF4esqw,image,2026-03-10T09:31:50.996Z,General,Awareness
WoodWing,"Audience insights often live outside the editorial workflow. What if they were available exactly when editors need them?

In this webinar, smartocto and WoodWing explore how integrated audience intelligence helps publishers make smarter content decisions. Join us on March 24.

🔎 Real examples
🧩 Practical workflow integration
📊 Lessons from data-driven newsrooms",8,0,1,https://www.linkedin.com/posts/woodwing_audience-insights-often-live-outside-the-activity-7435336364377784321-jDYP?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD1w7CABySVhztImliJXhj_Jyq5CxF4esqw,text,2026-03-05T14:52:11.137Z,General,Awareness
WoodWing,"AI in retail DAM is moving from experimentation to execution. But where do you start? And what actually works?

On March 17, during the Henry Stewart Webinar, independent DAM expert Kristina Huddart shares research-backed insights into AI in DAM for retail.

Our own Paul Walker will translate those insights into practical workflows: smarter tagging, faster discovery, and stronger product storytelling.

From trends to tangible applications. 📊 Register to join live, or receive the recording. https://lnkd.in/eXJSvHd5",16,0,5,https://www.linkedin.com/posts/woodwing_ai-in-retail-dam-is-moving-from-experimentation-activity-7434607215266705411-YCTJ?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD1w7CABySVhztImliJXhj_Jyq5CxF4esqw,image,2026-03-03T14:34:48.442Z,General,Awareness
